id,length,GC_like,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y
sp_P04637_P53_HUMAN,393,33,0.061068702290076333,0.02544529262086514,0.05089058524173028,0.07633587786259542,0.027989821882951654,0.058524173027989825,0.030534351145038167,0.020356234096692113,0.05089058524173028,0.08142493638676845,0.030534351145038167,0.035623409669211195,0.11450381679389313,0.03816793893129771,0.06615776081424936,0.09669211195928754,0.05597964376590331,0.04580152671755725,0.010178117048346057,0.022900763358778626
XP_049714738.1,390,32,0.05128205128205128,0.028205128205128206,0.038461538461538464,0.08717948717948718,0.03076923076923077,0.05384615384615385,0.02564102564102564,0.023076923076923078,0.05641025641025641,0.08974358974358974,0.02564102564102564,0.03076923076923077,0.1076923076923077,0.03076923076923077,0.05897435897435897,0.10512820512820513,0.07948717948717948,0.046153846153846156,0.010256410256410256,0.020512820512820513
XP_049736446.1,561,41,0.04634581105169341,0.0213903743315508,0.0481283422459893,0.0481283422459893,0.0285204991087344,0.05169340463458111,0.030303030303030304,0.053475935828877004,0.040998217468805706,0.0677361853832442,0.035650623885918005,0.040998217468805706,0.09090909090909091,0.0766488413547237,0.06060606060606061,0.09982174688057041,0.0766488413547237,0.044563279857397504,0.0053475935828877,0.03208556149732621
XP_049736436.1,586,42,0.04607508532423208,0.020477815699658702,0.04607508532423208,0.04948805460750853,0.02901023890784983,0.051194539249146756,0.02901023890784983,0.051194539249146756,0.03924914675767918,0.07337883959044368,0.03583617747440273,0.04607508532423208,0.08873720136518772,0.07849829351535836,0.05802047781569966,0.09897610921501707,0.07679180887372014,0.042662116040955635,0.005119453924914676,0.034129692832764506
XP_049736419.1,641,45,0.0421216848673947,0.0218408736349454,0.0514820592823713,0.0530421216848674,0.031201248049921998,0.0483619344773791,0.028081123244929798,0.054602184087363496,0.0374414976599064,0.0717628705148206,0.0374414976599064,0.0436817472698908,0.08892355694227769,0.078003120124805,0.054602184087363496,0.1029641185647426,0.07332293291731669,0.0436817472698908,0.0078003120124804995,0.029641185647425898
XP_049736408.1,660,45,0.04242424242424243,0.021212121212121213,0.05,0.05454545454545454,0.03333333333333333,0.04696969696969697,0.02878787878787879,0.05303030303030303,0.03787878787878788,0.0696969696969697,0.03787878787878788,0.04242424242424243,0.08787878787878788,0.07575757575757576,0.05454545454545454,0.10454545454545454,0.07424242424242425,0.04393939393939394,0.00909090909090909,0.031818181818181815
XP_049736399.1,663,46,0.042232277526395176,0.021116138763197588,0.049773755656108594,0.05429864253393665,0.033182503770739065,0.048265460030165915,0.02865761689291101,0.05279034690799397,0.03770739064856712,0.0693815987933635,0.03770739064856712,0.042232277526395176,0.0889894419306184,0.07541478129713423,0.05429864253393665,0.10407239819004525,0.07390648567119155,0.043740573152337855,0.010558069381598794,0.03167420814479638
XP_049736365.1,683,45,0.043923865300146414,0.020497803806734993,0.048316251830161056,0.05710102489019034,0.032210834553440704,0.04538799414348463,0.03074670571010249,0.05124450951683748,0.03953147877013177,0.07027818448023426,0.036603221083455345,0.0424597364568082,0.08638360175695461,0.07906295754026355,0.05856515373352855,0.10248901903367497,0.07174231332357248,0.0424597364568082,0.010248901903367497,0.03074670571010249
XP_049736374.1,680,47,0.04264705882352941,0.023529411764705882,0.05,0.054411764705882354,0.033823529411764704,0.045588235294117645,0.027941176470588237,0.052941176470588235,0.03676470588235294,0.06911764705882353,0.03676470588235294,0.04264705882352941,0.08823529411764706,0.07647058823529412,0.05588235294117647,0.10294117647058823,0.075,0.04264705882352941,0.008823529411764706,0.033823529411764704
XP_049733659.1,635,61,0.06456692913385827,0.01732283464566929,0.04251968503937008,0.05354330708661417,0.029921259842519685,0.07874015748031496,0.03622047244094488,0.03622047244094488,0.03307086614173228,0.07244094488188976,0.03307086614173228,0.03622047244094488,0.09448818897637795,0.06456692913385827,0.05354330708661417,0.09606299212598425,0.06299212598425197,0.05826771653543307,0.006299212598425197,0.029921259842519685
